iter	Passed	Remaining
0	162	162792
1	184	91871
2	205	68232
3	226	56296
4	247	49271
5	269	44729
6	293	41662
7	314	39036
8	337	37119
9	375	37182
10	405	36424
11	429	35325
12	451	34288
13	473	33327
14	495	32542
15	518	31864
16	538	31116
17	559	30517
18	580	29952
19	600	29427
20	620	28941
21	641	28512
22	660	28035
23	680	27659
24	701	27357
25	722	27071
26	744	26838
27	764	26526
28	785	26297
29	804	26019
30	823	25738
31	842	25495
32	861	25248
33	881	25049
34	901	24860
35	921	24677
36	942	24518
37	961	24345
38	981	24189
39	1002	24062
40	1020	23878
41	1041	23758
42	1060	23602
43	1080	23469
44	1099	23340
45	1118	23191
46	1137	23073
47	1156	22941
48	1176	22838
49	1196	22739
50	1217	22651
51	1237	22561
52	1257	22461
53	1276	22358
54	1294	22238
55	1313	22137
56	1334	22072
57	1353	21977
58	1372	21894
59	1393	21831
60	1414	21770
61	1432	21667
62	1450	21576
63	1471	21513
64	1491	21461
65	1512	21406
66	1532	21342
67	1555	21314
68	1573	21236
69	1592	21162
70	1613	21106
71	1633	21055
72	1652	20983
73	1672	20932
74	1691	20867
75	1711	20802
76	1731	20760
77	1752	20711
78	1772	20665
79	1792	20618
80	1812	20564
81	1832	20510
82	1853	20479
83	1872	20421
84	1893	20382
85	1912	20326
86	1932	20278
87	1953	20244
88	1972	20187
89	1992	20148
90	2011	20090
91	2031	20052
92	2050	20002
93	2070	19960
94	2090	19918
95	2111	19885
96	2131	19846
97	2151	19806
98	2172	19769
99	2191	19724
100	2210	19675
101	2229	19625
102	2251	19606
103	2272	19575
104	2290	19521
105	2309	19477
106	2329	19441
107	2349	19405
108	2369	19370
109	2389	19335
110	2407	19284
111	2428	19253
112	2449	19230
113	2468	19186
114	2489	19160
115	2511	19139
116	2532	19110
117	2551	19070
118	2571	19036
119	2592	19009
120	2612	18979
121	2632	18946
122	2652	18912
123	2673	18886
124	2694	18859
125	2713	18823
126	2732	18786
127	2754	18765
128	2773	18726
129	2793	18692
130	2812	18659
131	2832	18623
132	2855	18612
133	2876	18590
134	2897	18564
135	2917	18535
136	2937	18505
137	2957	18470
138	2977	18441
139	2997	18414
140	3018	18390
141	3038	18361
142	3059	18336
143	3081	18316
144	3103	18300
145	3124	18274
146	3144	18245
147	3164	18217
148	3184	18189
149	3205	18163
150	3227	18148
151	3251	18141
152	3272	18118
153	3296	18111
154	3318	18089
155	3340	18071
156	3363	18059
157	3386	18046
158	3407	18025
159	3431	18013
160	3454	18002
161	3476	17985
162	3499	17970
163	3522	17956
164	3546	17945
165	3570	17938
166	3598	17948
167	3623	17947
168	3650	17950
169	3676	17947
170	3699	17935
171	3723	17924
172	3748	17919
173	3768	17891
174	3788	17857
175	3810	17838
176	3828	17800
177	3847	17768
178	3866	17736
179	3887	17711
180	3906	17677
181	3925	17644
182	3945	17616
183	3965	17586
184	3986	17562
185	4005	17531
186	4029	17518
187	4048	17486
188	4067	17454
189	4088	17427
190	4108	17402
191	4128	17375
192	4149	17352
193	4169	17320
194	4188	17292
195	4208	17263
196	4227	17233
197	4247	17203
198	4266	17173
199	4287	17150
200	4307	17123
201	4328	17100
202	4349	17075
203	4369	17048
204	4389	17022
205	4408	16990
206	4429	16967
207	4448	16939
208	4470	16918
209	4491	16894
210	4510	16865
211	4531	16844
212	4555	16830
213	4574	16803
214	4594	16775
215	4614	16748
216	4635	16727
217	4655	16699
218	4673	16667
219	4693	16641
220	4715	16621
221	4735	16595
222	4756	16571
223	4776	16547
224	4799	16530
225	4819	16504
226	4838	16477
227	4859	16453
228	4879	16427
229	4899	16403
230	4919	16378
231	4940	16354
232	4960	16327
233	4980	16305
234	4999	16276
235	5019	16249
236	5040	16226
237	5060	16201
238	5079	16173
239	5097	16143
240	5118	16118
241	5138	16095
242	5157	16065
243	5178	16045
244	5198	16019
245	5218	15995
246	5238	15971
247	5259	15949
248	5280	15924
249	5300	15900
250	5320	15877
251	5340	15851
252	5360	15827
253	5380	15803
254	5400	15777
255	5420	15752
256	5440	15727
257	5462	15710
258	5485	15693
259	5505	15670
260	5525	15645
261	5547	15624
262	5568	15605
263	5586	15574
264	5607	15552
265	5627	15528
266	5648	15506
267	5668	15482
268	5688	15459
269	5708	15433
270	5728	15410
271	5749	15387
272	5769	15364
273	5789	15339
274	5807	15311
275	5826	15284
276	5844	15253
277	5864	15231
278	5884	15206
279	5905	15185
280	5924	15159
281	5950	15149
282	5973	15133
283	5996	15117
284	6018	15098
285	6040	15080
286	6061	15058
287	6081	15034
288	6100	15007
289	6119	14981
290	6138	14956
291	6159	14935
292	6180	14912
293	6200	14889
294	6221	14868
295	6242	14846
296	6262	14824
297	6282	14800
298	6304	14779
299	6325	14758
300	6346	14737
301	6366	14715
302	6388	14694
303	6408	14671
304	6428	14648
305	6448	14624
306	6468	14601
307	6490	14582
308	6511	14561
309	6530	14536
310	6551	14514
311	6572	14492
312	6592	14470
313	6612	14445
314	6630	14418
315	6651	14396
316	6671	14374
317	6691	14351
318	6710	14325
319	6729	14300
320	6749	14276
321	6769	14253
322	6789	14230
323	6808	14205
324	6828	14183
325	6849	14162
326	6870	14140
327	6890	14116
328	6910	14093
329	6929	14069
330	6950	14047
331	6971	14026
332	6991	14003
333	7009	13977
334	7028	13951
335	7047	13927
336	7067	13904
337	7086	13879
338	7105	13854
339	7124	13829
340	7144	13806
341	7164	13783
342	7179	13752
343	7200	13730
344	7220	13708
345	7240	13685
346	7259	13660
347	7279	13638
348	7299	13615
349	7319	13593
350	7341	13573
351	7361	13552
352	7382	13531
353	7402	13508
354	7423	13486
355	7443	13465
356	7464	13444
357	7486	13425
